card_id,trans_count,active_days,first_trans,last_trans
HHAAJABBH,10,1,2018-09-01T06:11:02.000+08:00,2018-09-01T10:53:10.000+08:00
HHAAAJJAE,10,1,2018-09-01T08:45:16.000+08:00,2018-09-01T11:13:00.000+08:00
HHAAJFGHH,10,1,2018-09-01T08:14:27.000+08:00,2018-09-01T11:05:40.000+08:00
HHABJFCCH,10,1,2018-09-01T08:46:18.000+08:00,2018-09-01T11:12:52.000+08:00
HHAAJICJE,10,1,2018-09-01T04:42:06.000+08:00,2018-09-01T09:38:55.000+08:00
CGJJAFBCH,10,1,2018-09-01T07:09:56.000+08:00,2018-09-01T09:24:51.000+08:00
HHAAACCJB,10,1,2018-09-01T06:15:39.000+08:00,2018-09-01T10:02:16.000+08:00
HHJJJDFHB,10,1,2018-09-01T06:17:36.000+08:00,2018-09-01T10:21:00.000+08:00
BEBJHEBFC,10,1,2018-09-01T07:57:58.000+08:00,2018-09-01T11:14:38.000+08:00
HHABAEEIH,10,1,2018-09-01T05:30:25.000+08:00,2018-09-01T10:19:08.000+08:00
HHJJBAJEE,10,1,2018-09-01T06:35:16.000+08:00,2018-09-01T10:05:50.000+08:00
HHAAAJJBD,10,1,2018-09-01T09:10:39.000+08:00,2018-09-01T10:57:30.000+08:00
DICDGJDAH,10,1,2018-09-01T07:25:18.000+08:00,2018-09-01T07:25:44.000+08:00
HHAAJBEBA,10,1,2018-09-01T05:48:12.000+08:00,2018-09-01T11:13:12.000+08:00
HHABADHBF,10,1,2018-09-01T06:56:12.000+08:00,2018-09-01T11:24:05.000+08:00
FIABCGCGC,10,1,2018-09-01T07:41:34.000+08:00,2018-09-01T09:45:06.000+08:00
HHJJJHGCC,10,1,2018-09-01T06:22:20.000+08:00,2018-09-01T09:45:14.000+08:00
HHJJAEIFJ,10,1,2018-09-01T06:31:06.000+08:00,2018-09-01T10:32:24.000+08:00
HHJJAHDHG,9,1,2018-09-01T07:12:03.000+08:00,2018-09-01T10:13:25.000+08:00
CBGAGICGH,9,1,2018-09-01T07:57:37.000+08:00,2018-09-01T11:10:03.000+08:00
HHAAACAAE,9,1,2018-09-01T08:33:57.000+08:00,2018-09-01T11:12:32.000+08:00
HHAAJCBID,9,1,2018-09-01T05:17:47.000+08:00,2018-09-01T10:00:59.000+08:00
HHAAJACAI,9,1,2018-09-01T07:06:06.000+08:00,2018-09-01T11:12:42.000+08:00
FIACGCFGC,9,1,2018-09-01T07:08:10.000+08:00,2018-09-01T11:18:34.000+08:00
HHAAACAEJ,9,1,2018-09-01T07:51:00.000+08:00,2018-09-01T11:00:08.000+08:00
HHABJGHAH,9,1,2018-09-01T08:21:09.000+08:00,2018-09-01T10:40:44.000+08:00
BIJEEHDIA,9,1,2018-09-01T07:52:47.000+08:00,2018-09-01T10:50:36.000+08:00
FHHGHCDGI,9,1,2018-09-01T07:37:50.000+08:00,2018-09-01T10:58:42.000+08:00
HHAAJCJGJ,9,1,2018-09-01T06:29:10.000+08:00,2018-09-01T11:17:16.000+08:00
CBJFEGGIC,9,1,2018-09-01T08:23:41.000+08:00,2018-09-01T11:00:33.000+08:00
HHAAACAIJ,9,1,2018-09-01T06:53:48.000+08:00,2018-09-01T09:50:41.000+08:00
HHAAJCBBB,9,1,2018-09-01T08:24:18.000+08:00,2018-09-01T11:05:54.000+08:00
HHAAJFBHH,9,1,2018-09-01T07:58:13.000+08:00,2018-09-01T11:01:40.000+08:00
HHJJJHBBI,9,1,2018-09-01T07:18:33.000+08:00,2018-09-01T11:11:20.000+08:00
HHAAAIFAC,9,1,2018-09-01T06:08:24.000+08:00,2018-09-01T10:13:50.000+08:00
HHAAABCFF,9,1,2018-09-01T10:03:47.000+08:00,2018-09-01T10:56:34.000+08:00
FFIAJABJB,9,1,2018-09-01T06:01:25.000+08:00,2018-09-01T10:19:54.000+08:00
HHJJBDFBD,9,1,2018-09-01T07:43:52.000+08:00,2018-09-01T11:18:20.000+08:00
HHAAACBFE,9,1,2018-09-01T07:35:24.000+08:00,2018-09-01T11:00:38.000+08:00
